582.01558  	0.00004  	 5000  	8.60e+06  	 5.86e+00  	  C+ 	149 824.2215  	-  	167 001.1327  	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°3/2)4d  	 2[7/2]°  	 3  		T6976 	L3451
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
582.89063  	0.00030  	 750  	2.87e+05  	 8.4e-02  	  C 	149 824.2215  	-  	166 975.3424  	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°3/2)4d  	 2[1/2]°  	 1  		T6976 	L4498
585.24878  	0.00005  	 20000  	6.15e+07  	 6.09e+00  	  AA 	135 888.7173  	-  	152 970.7328  	 2s22p5(2P°1/2)3s  	 2[1/2]°  	 1  	 2s22p5(2P°1/2)3p  	 2[1/2]  	 0  		T6389 	L7292
586.84165  	0.00030  	 750  	8.26e+05  	 2.47e-01  	  C+ 	150 772.1118  	-  	167 807.7649  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°1/2)4d  	 2[3/2]°  	 1  		T6976 	L4498
587.21450  	0.00030  	 750  	6.69e+05  	 3.35e-01  	  C+ 	150 772.1118  	-  	167 796.9475  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°1/2)4d  	 2[3/2]°  	 2  		T6976 	L4498
587.28275  	0.00004  	 5000  	6.07e+06  	 3.04e+00  	  C+ 	150 772.1118  	-  	167 794.9709  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°1/2)4d  	 2[5/2]°  	 2  		T6976 	L3451
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
588.18950  	0.00005  	 10000  	1.15e+07  	 3.47e+00  	  B+ 	134 041.8400  	-  	151 038.4524  	 2s22p5(2P°3/2)3s  	 2[3/2]°  	 2  	 2s22p5(2P°1/2)3p  	 2[1/2]  	 1  		T2733 	L7292
589.83287  	0.00030  	 200  	2.01e+05  	 6.1e-02  	  C 	150 858.5079  	-  	167 807.7649  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 2  	 2s22p5(2P°1/2)4d  	 2[3/2]°  	 1  		T6976 	L4498
590.20944  	0.00030  	 30  	7.35e+05  	 3.73e-01  	  C+ 	150 858.5079  	-  	167 796.9475  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 2  	 2s22p5(2P°1/2)4d  	 2[3/2]°  	 2  		T6976 	L4498
